"Position","thumbnail","route","date","price","aircraft","maxpax","flightTime","WiFi","Pets","Beds"
53,"https://lms-api.luxaviation.com/aircraft_images/125_b8a56b08-21e6-40a7-877d-fc034db07bd2.png","Geneva Cointrin International Airport (LSGG)  Brussels Airport (EBBR)","2025-01-27","Starting From EUR 3,850.00","Cessna Citation CJ4 Gen2","Passengers: 9","Est Flight Time: 01:00","Wifi: No","Pets: No","Beds: No"
54,"https://lms-api.luxaviation.com/aircraft_images/132_37d6acdf-5b69-4c2d-9c1e-463773152091.jpg","Brussels Airport (EBBR)  Chambéry-Savoie Airport (LFLB)","2025-01-29","Starting From EUR 4,125.00","Cessna Citation CJ4 Gen2","Passengers: 9","Est Flight Time: 01:05","Wifi: No","Pets: No","Beds: No"
55,"https://lms-api.luxaviation.com/aircraft_images/132_37d6acdf-5b69-4c2d-9c1e-463773152091.jpg","Cannes-Mandelieu Airport (LFMD)  Brussels Airport (EBBR)","2025-02-01","Starting From EUR 4,950.00","Cessna Citation CJ4 Gen2","Passengers: 9","Est Flight Time: 01:20","Wifi: No","Pets: No","Beds: No"
56,"https://lms-api.luxaviation.com/aircraft_images/132_37d6acdf-5b69-4c2d-9c1e-463773152091.jpg","Chambéry-Savoie Airport (LFLB)  Brussels Airport (EBBR)","2025-02-05","Starting From EUR 4,125.00","Cessna Citation CJ4 Gen2","Passengers: 9","Est Flight Time: 01:05","Wifi: No","Pets: No","Beds: No"
57,"https://lms-api.luxaviation.com/aircraft_images/132_37d6acdf-5b69-4c2d-9c1e-463773152091.jpg","Brussels Airport (EBBR)  Chambéry-Savoie Airport (LFLB)","2025-02-09","Starting From EUR 4,125.00","Cessna Citation CJ4 Gen2","Passengers: 9","Est Flight Time: 01:05","Wifi: No","Pets: No","Beds: No"
58,"https://lms-api.luxaviation.com/aircraft_images/132_37d6acdf-5b69-4c2d-9c1e-463773152091.jpg","Zürich Airport (LSZH)  Wevelgem Airport (EBKT)","2025-02-10","Starting From EUR 3,850.00","Cessna Citation CJ4 Gen2","Passengers: 9","Est Flight Time: 01:05","Wifi: No","Pets: No","Beds: No"
59,"https://lms-api.luxaviation.com/aircraft_images/132_37d6acdf-5b69-4c2d-9c1e-463773152091.jpg","Wevelgem Airport (EBKT)  Zürich Airport (LSZH)","2025-02-14","Starting From EUR 3,850.00","Cessna Citation CJ4 Gen2","Passengers: 9","Est Flight Time: 01:05","Wifi: No","Pets: No","Beds: No"
60,"https://lms-api.luxaviation.com/aircraft_images/179_dc6d38b6-d457-4a9f-99b8-9f1476f4e0c0.jpg","Sion Airport (LSGS)  Wevelgem Airport (EBKT)","2025-02-26","Starting From EUR 3,575.00","Cessna Citation CJ4 Gen2","Passengers: 9","Est Flight Time: 01:05","Wifi: No","Pets: No","Beds: No"
61,"https://lms-api.luxaviation.com/aircraft_images/179_dc6d38b6-d457-4a9f-99b8-9f1476f4e0c0.jpg","Chambéry-Savoie Airport (LFLB)  Wevelgem Airport (EBKT)","2025-03-02","Starting From EUR 4,125.00","Cessna Citation CJ4 Gen2","Passengers: 9","Est Flight Time: 01:05","Wifi: No","Pets: No","Beds: No"
62,"https://lms-api.luxaviation.com/aircraft_images/179_dc6d38b6-d457-4a9f-99b8-9f1476f4e0c0.jpg","Wevelgem Airport (EBKT)  Sion Airport (LSGS)","2025-03-04","Starting From EUR 3,575.00","Cessna Citation CJ4 Gen2","Passengers: 9","Est Flight Time: 01:05","Wifi: No","Pets: No","Beds: No"
